experiment,repeat,k,fold,max_depth,f1
CRFD,4,10,3,5,0.0821917808219178
CRFD,4,10,4,5,0.0
CRFD,4,10,5,5,0.08108108108108109
CRFD,4,10,6,5,0.0547945205479452
CRFD,4,10,7,5,0.13157894736842105
CRFD,4,10,8,5,0.0547945205479452
CRFD,4,10,9,5,0.0547945205479452
CRFD,4,10,10,5,0.08108108108108109
CRFD,5,10,1,5,0.0821917808219178
CRFD,5,10,2,5,0.05555555555555555
CRFD,5,10,3,5,0.05555555555555555
CRFD,5,10,4,5,0.0547945205479452
CRFD,5,10,5,5,0.08108108108108109
CRFD,5,10,6,5,0.0
CRFD,5,10,7,5,0.13157894736842105
CRFD,5,10,8,5,0.0547945205479452
CRFD,5,10,9,5,0.1794871794871795
CRFD,5,10,10,5,0.08108108108108109
CRFD,6,10,1,5,0.0
CRFD,6,10,2,5,0.028169014084507043
CRFD,6,10,3,5,0.15789473684210525
CRFD,6,10,4,5,0.027777777777777776
CRFD,6,10,5,5,0.08108108108108109
CRFD,6,10,6,5,0.0547945205479452
CRFD,6,10,7,5,0.13157894736842105
CRFD,6,10,8,5,0.10666666666666667
CRFD,6,10,9,5,0.10666666666666667
CRFD,6,10,10,5,0.13157894736842105
CRFD,7,10,1,5,0.05555555555555555
CRFD,7,10,2,5,0.05555555555555555
CRFD,7,10,3,5,0.0821917808219178
CRFD,7,10,4,5,0.15584415584415584
CRFD,7,10,5,5,0.13157894736842105
CRFD,7,10,6,5,0.027777777777777776
CRFD,7,10,7,5,0.0
CRFD,7,10,8,5,0.13157894736842105
CRFD,7,10,9,5,0.0547945205479452
CRFD,7,10,10,5,0.0547945205479452
CRFD,8,10,1,5,0.05555555555555555
CRFD,8,10,2,5,0.028169014084507043
CRFD,8,10,3,5,0.0821917808219178
CRFD,8,10,4,5,0.13157894736842105
CRFD,8,10,5,5,0.027777777777777776
CRFD,8,10,6,5,0.08108108108108109
CRFD,8,10,7,5,0.08108108108108109
CRFD,8,10,8,5,0.027777777777777776
CRFD,8,10,9,5,0.10666666666666667
CRFD,8,10,10,5,0.10666666666666667
CRFD,9,10,1,5,0.05555555555555555
CRFD,9,10,2,5,0.0821917808219178
CRFD,9,10,3,5,0.028169014084507043
CRFD,9,10,4,5,0.08108108108108109
CRFD,9,10,5,5,0.08108108108108109
CRFD,9,10,6,5,0.08108108108108109
CRFD,9,10,7,5,0.08108108108108109
CRFD,9,10,8,5,0.027777777777777776
CRFD,9,10,9,5,0.027777777777777776
CRFD,9,10,10,5,0.08108108108108109
CRFD,10,10,1,5,0.0
CRFD,10,10,2,5,0.13333333333333333
CRFD,10,10,3,5,0.05555555555555555
CRFD,10,10,4,5,0.0547945205479452
CRFD,10,10,5,5,0.027777777777777776
CRFD,10,10,6,5,0.15584415584415584
CRFD,10,10,7,5,0.08108108108108109
CRFD,10,10,8,5,0.08108108108108109
CRFD,10,10,9,5,0.08108108108108109
CRFD,10,10,10,5,0.0547945205479452
CRFD,1,3,1,None,0.7108753315649867
CRFD,1,3,2,None,0.7395833333333334
CRFD,1,3,3,None,0.779746835443038
CRFD,2,3,1,None,0.7025641025641025
CRFD,2,3,2,None,0.7068062827225131
CRFD,2,3,3,None,0.751269035532995
CRFD,3,3,1,None,0.7021276595744681
CRFD,3,3,2,None,0.7272727272727273
CRFD,3,3,3,None,0.7461928934010152
CRFD,4,3,1,None,0.7487179487179487
